RESPID,QD2_PoliticalAffiliation,QD2A_PoliticalLean,QC3_ClintonEmailAwareness,QC4_ClintonEmailIntent,QC5_ClintonEmailHonesty,QC6_BenghaziCommittee,QC7_TiredofEmails,QB1_ObamaApproval,QB2_CongressApprove,QB3_CountryDirection,QB4_TradeAgreements,QB5_TradeAgreementAwareness,QB6_TradeAgreementOpinion,QB7_NaftaOpinion,QD3_PoliticalViews,QD3A_TeaParty,QD4_Education,QD5_Age,QD5A_AgeRange,QD6_Children,QD7_HispanicLatino,QD8_WhiteBlackAsian,QD9_Income,QD10_Gender
384,2,,1,2,1,2,1,1,2,2,2,3,2,2,1,5,3,64,,2,2,1,2,1
2841,2,,2,2,1,2,1,1,1,1,2,2,2,4,1,9,3,31,,1,2,1,2,2
4415,2,,1,2,1,2,1,1,2,1,2,1,2,2,3,5,7,39,,2,2,1,4,1
1169,3,1,1,2,1,2,1,2,2,2,1,3,4,1,4,4,3,18,,2,2,1,4,1
3850,3,1,1,1,2,1,2,2,2,2,3,1,2,2,4,1,8,61,,2,2,1,4,2
2913,1,,1,1,2,1,2,2,2,2,1,3,1,1,5,1,6,68,,2,2,1,2,1
1186,1,,1,1,2,1,2,2,2,2,1,2,4,2,4,1,3,66,,2,2,1,4,1
3951,1,,1,1,2,1,2,2,2,2,1,2,4,4,4,1,3,88,,2,2,1,2,1
4637,1,,1,1,2,1,2,2,2,2,1,2,4,4,4,1,8,80,,2,2,1,4,1
5253,3,2,1,2,1,2,1,1,2,2,2,1,2,2,2,5,6,62,,2,1,4,4,1
3285,3,3,1,9,2,2,1,2,2,2,3,2,4,2,2,9,8,72,,2,2,5,4,1
1187,3,3,1,2,2,1,2,9,2,2,2,3,2,2,3,9,5,48,,2,2,9,3,1
737,2,,1,2,1,2,1,1,2,1,3,2,4,3,2,5,8,41,,1,2,1,4,1
4715,3,1,1,1,2,1,2,2,2,2,4,2,4,4,5,3,8,64,,2,2,1,4,1
875,2,,1,2,1,2,1,1,2,2,3,2,1,4,2,5,7,84,,2,2,1,4,2
664,2,,2,2,1,2,1,1,2,2,2,3,4,2,3,4,3,73,,2,2,1,2,1
3946,1,,1,2,1,2,2,2,2,1,3,2,4,4,3,2,8,32,,2,2,1,3,1
81,9,3,1,1,2,9,1,2,2,2,4,2,4,2,5,3,7,55,,2,2,1,4,1
2659,3,1,1,1,2,1,2,2,2,2,2,2,2,2,4,2,3,55,,2,2,1,9,1
6303,3,3,1,2,2,2,1,2,2,2,2,2,2,2,3,3,7,53,,2,2,1,2,2
559,3,1,1,1,2,1,2,2,1,2,3,2,4,3,4,9,3,83,,2,2,1,1,1
1384,2,,1,2,1,2,1,1,2,1,2,1,2,3,3,5,5,28,,2,2,1,2,1
4804,2,,1,2,1,2,1,1,2,2,3,2,4,1,1,5,7,70,,2,2,1,2,1
1138,1,,2,2,2,1,1,2,2,2,1,3,4,2,4,4,8,67,,2,2,1,3,1
2768,2,,1,2,2,2,1,2,2,2,3,1,2,4,4,3,8,44,,1,2,2,3,2
862,1,,2,1,2,1,1,2,1,2,2,2,2,2,4,2,5,99,3,2,2,1,3,1
449,4,3,1,1,2,1,2,2,2,2,1,2,2,2,9,2,8,55,,2,2,1,1,1
3944,3,3,1,2,9,1,2,2,2,2,2,2,4,2,4,5,6,62,,2,2,1,4,2
2289,4,1,1,1,2,1,2,2,2,2,3,3,1,1,5,1,7,73,,2,2,1,4,2
1090,2,,1,2,1,2,1,1,2,2,3,2,4,2,2,5,8,69,,2,2,1,4,2
457,2,,1,2,1,2,1,1,2,1,3,2,4,4,2,5,8,92,,2,2,1,3,2
4590,3,1,1,1,2,1,2,2,2,2,2,1,2,2,4,3,3,65,,2,2,1,4,2
4171,2,,1,2,9,9,1,9,9,1,1,3,3,1,3,3,5,66,,2,2,2,2,1
6114,3,3,1,2,2,2,1,1,2,2,2,1,2,4,1,5,7,40,,1,2,1,3,1
4196,4,2,2,1,2,3,1,1,2,1,3,3,4,3,2,5,4,83,,2,2,1,1,2
1119,2,,3,9,1,2,1,1,1,2,3,2,3,1,3,3,3,19,,2,1,4,1,1
6007,3,1,2,1,2,9,1,2,2,2,1,2,4,1,3,3,6,47,,1,2,1,4,2
7178,3,3,3,9,1,1,2,2,2,2,1,2,3,4,3,4,7,43,,2,2,1,3,2
3443,2,,2,2,9,2,1,1,2,1,1,2,4,1,3,4,3,58,,2,2,2,3,1
4298,9,3,2,2,2,2,1,1,1,9,1,3,4,4,3,3,4,38,,1,2,2,1,1
930,4,1,1,1,2,1,2,2,2,2,3,1,2,2,5,1,7,50,,1,9,9,4,1
5649,4,9,1,9,9,2,1,1,2,1,3,1,4,2,3,5,5,45,,1,2,1,4,1
934,4,2,1,1,2,3,1,2,2,2,2,3,4,2,2,5,3,65,,2,2,1,2,2
1191,9,3,2,9,2,9,1,2,2,2,3,2,4,4,2,4,7,32,,1,2,1,2,2
939,3,1,1,1,2,3,2,2,2,2,1,2,4,3,4,3,7,73,,2,2,1,4,1
5902,2,,1,2,2,2,1,1,2,1,1,2,4,3,2,5,7,33,,2,1,4,3,2
167,3,2,3,9,1,9,1,1,1,1,1,2,1,1,2,9,3,65,,2,9,1,9,1
695,4,1,1,1,2,1,2,2,2,2,1,2,4,1,3,3,8,73,,2,2,1,9,1
4936,2,,1,2,2,2,1,2,2,2,3,3,3,2,4,3,7,58,,2,2,1,3,1
7546,3,2,1,1,2,1,2,2,2,2,2,1,2,3,4,3,8,52,,2,2,1,9,1
5692,3,3,1,1,2,1,2,2,2,2,3,3,4,2,3,3,7,99,3,2,2,1,3,1
4431,2,,1,2,1,2,1,1,1,9,2,3,4,4,3,3,6,71,,1,1,4,2,2
5593,3,1,3,2,1,1,2,1,1,1,3,3,4,3,1,1,3,40,,2,2,2,4,1
5809,3,1,2,1,2,1,2,2,2,2,2,2,2,2,5,1,3,54,,2,2,1,3,1
5750,4,2,1,2,1,9,1,1,2,2,2,1,2,2,2,5,8,50,,2,2,1,4,2
2257,1,,2,1,2,2,2,2,2,2,3,3,4,4,4,3,5,60,,2,2,1,4,2
2848,3,2,1,2,1,2,1,1,2,9,3,2,4,1,1,5,8,53,,2,2,1,4,2
4584,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,3,54,,2,2,1,4,1
2505,3,2,1,9,9,2,1,1,2,1,2,1,4,4,2,5,7,48,,1,2,1,4,2
2863,1,,1,1,2,1,2,2,2,2,1,1,3,1,3,3,8,47,,2,1,4,4,1
2936,2,,1,2,1,2,1,1,2,1,2,2,2,2,3,4,3,70,,2,2,1,3,1
2124,1,,1,1,2,1,1,2,9,2,2,2,3,3,4,3,7,25,,2,2,1,3,1
4520,4,3,3,9,9,9,9,2,2,2,3,3,2,4,4,3,3,26,,1,2,5,4,2
888,3,3,2,2,9,2,1,2,2,2,1,3,4,4,3,3,3,48,,1,2,1,2,1
5433,1,,1,1,2,3,2,2,2,2,2,2,4,2,4,3,4,55,,2,2,1,3,2
662,1,,1,2,9,3,1,1,2,2,3,2,4,3,3,3,7,25,,2,2,1,3,1
1018,4,9,1,2,1,2,1,2,2,2,1,3,2,2,3,3,5,36,,1,2,1,2,2
4362,1,,1,1,2,1,2,2,2,2,2,1,2,2,3,2,5,77,,2,2,1,1,2
303,2,,1,2,1,2,1,1,2,1,3,1,4,2,1,5,3,69,,2,2,1,1,2
3062,1,,1,1,2,1,2,2,2,2,3,3,4,2,5,1,6,66,,1,2,1,3,2
4479,1,,1,2,1,1,2,2,9,2,3,3,4,4,5,3,5,54,,2,2,1,9,2
4913,1,,1,1,2,1,2,2,2,2,2,1,2,2,4,1,6,51,,2,2,1,3,2
2950,3,2,1,2,1,2,1,1,2,1,3,2,4,4,4,3,7,74,,2,2,1,3,2
3647,1,,1,1,2,1,2,2,2,2,1,3,2,4,5,2,7,66,,2,2,1,2,2
1094,3,2,1,1,2,2,2,1,2,2,2,2,3,2,3,4,7,66,,2,2,1,4,1
2438,4,2,1,2,1,2,1,1,2,2,2,1,2,2,2,5,8,66,,2,2,1,4,1
2074,3,1,1,1,2,1,2,2,2,2,1,2,1,1,3,3,7,62,,2,2,1,4,1
2195,1,,2,2,9,2,1,2,2,2,2,2,2,2,1,5,7,50,,2,2,2,3,1
387,1,,2,1,2,1,2,2,2,2,3,2,4,2,4,1,3,71,,2,2,1,1,2
5689,4,1,1,1,2,1,2,2,2,2,2,2,2,2,5,1,8,41,,1,2,1,4,1
6520,1,,2,1,2,1,2,2,2,2,2,3,4,4,5,2,3,43,,1,2,1,2,2
6697,2,,1,2,1,2,1,1,2,1,1,1,1,4,1,5,5,46,,1,2,1,3,2
